Year,Route,Borough,Avg. Ridership
2019,B45,Brooklyn,"4,846"
2019,B46Lcl/SBS,Brooklyn,"36,375"
2019,B47,Brooklyn,"9,017"
2019,B48,Brooklyn,"3,406"
2019,B49,Brooklyn,"10,653"
2019,B52,Brooklyn,"9,317"
2019,B54,Brooklyn,"8,590"
2019,B57,Brooklyn,"6,837"
2019,B60,Brooklyn,"8,166"
2019,B61,Brooklyn,"8,438"
2019,B62,Brooklyn,"6,762"
2019,B63,Brooklyn,"11,085"
2019,B64,Brooklyn,"5,472"
2019,B65,Brooklyn,"3,176"
2019,B67,Brooklyn,"4,618"
2019,B68,Brooklyn,"12,180"
2019,B69,Brooklyn,"4,323"
2019,B70,Brooklyn,"7,065"
2019,B74,Brooklyn,"3,330"
2019,B82Lcl/SBS,Brooklyn,"26,775"
2019,B83,Brooklyn,"6,631"
2019,B84,Brooklyn,514
2019,B OTHER,Brooklyn,"2,428"
2019,Bx1/2,Brooklyn,"27,559"
2019,Bx3,Brooklyn,"11,252"
2019,Bx4,Brooklyn,"8,370"
2019,Bx5,Brooklyn,"8,955"
2019,Bx6Lcl/SBS,Brooklyn,"21,699"
2019,Bx7,Brooklyn,"13,418"
2019,Bx8,Brooklyn,"6,248"
2019,Bx9,Brooklyn,"21,840"
2019,Bx10,Brooklyn,"9,937"
2019,Bx11,Brooklyn,"10,638"
2019,Bx12Lcl/SBS,Brooklyn,"40,260"
2019,Bx13,Brooklyn,"9,754"
2019,Bx15,Brooklyn,"20,579"
2019,Bx16,Brooklyn,"6,981"
2019,Bx17,Brooklyn,"7,316"
2019,Bx18,Brooklyn,"1,420"
2019,Bx19,Brooklyn,"21,475"
2019,Bx20,Brooklyn,868
2019,Bx21,Brooklyn,"11,468"
2019,Bx22,Brooklyn,"11,628"
2019,Bx24,Brooklyn,804
2019,Bx26,Brooklyn,"6,728"
2019,Bx27,Brooklyn,"5,917"
2019,Bx28/38,Brooklyn,"12,294"
2019,Bx29,Brooklyn,"2,207"
2019,Bx30,Brooklyn,"7,754"
2019,Bx31,Brooklyn,"8,114"
2019,Bx32,Brooklyn,"5,414"
2019,Bx33,Brooklyn,"2,134"
2019,Bx34,Brooklyn,"3,325"
2019,Bx35,Brooklyn,"12,681"
2019,Bx36,Brooklyn,"21,875"
2019,Bx39,Brooklyn,"12,334"
2019,Bx40/42,Brooklyn,"18,835"
2019,Bx41Lcl/SBS,Brooklyn,"17,699"
2019,Bx46,Brooklyn,582
2019,Bx OTHER,Brooklyn,"2,028"
2019,M1,Manhatten,"9,322"
2019,M2,Manhatten,"8,446"
2019,M3,Manhatten,"12,516"
2019,M4,Manhatten,"15,189"
2019,M5,Manhatten,"8,657"
2019,M7,Manhatten,"10,806"
2019,M8,Manhatten,"1,675"
2019,M9,Manhatten,"5,057"
2019,M10,Manhatten,"5,184"
2019,M11,Manhatten,"9,562"
2019,M12,Manhatten,762
2019,M14Lcl/SBS,Manhatten,"28,387"
2019,M15Lcl/SBS,Manhatten,"46,087"
2019,M20,Manhatten,"2,084"
2019,M21,Manhatten,"1,410"
2019,M22,Manhatten,"2,151"
2019,M23SBS,Manhatten,"14,441"
2019,M31,Manhatten,"9,254"
2019,M34SBS,Manhatten,"15,587"
2019,M35,Manhatten,614
2019,M42,Manhatten,"9,978"
2019,M50,Manhatten,"2,620"
2019,M57,Manhatten,"6,447"
2019,M60SBS,Manhatten,"14,778"
2019,M66,Manhatten,"8,643"
2019,M72,Manhatten,"4,469"
2019,M79SBS,Manhatten,"12,351"
